76.7,184.8,97.4,,
43.4,177.9,113.1,148,425
44,178.2,113.6, , 
43.6,178,113.1,97,466
43.9,178.4,109.8,261,54
44.4,178.7,110,422, 
44.7,178.8,110.2,479,256
47.5,180.2,110.5, ,271
47.4,180.1,110.2, ,278
47.4,180.2,110.1,203,402
46.7,179.6,113.3,97,241
46.7,179.5,113.6,378,747
46.7,179.5,113.8,2728,499
46.4,179,117.2,1353,685
46.7,179.1,117.5,500,352
47,179.2,117.9, ,852
43.3,177.4,116.6, ,410
42.7,177,116.8, ,586
43.2,177.2,117.3, ,916
40.4,175.4,116.6, ,49
40.7,175.7,116.4, ,426
40.5,176,112.4,585,179
40.5,176,112.6,906, 
40.9,176.3,112.8,738,266
40.7,176.4,109.3,369, 
40.7,176.4,109.3,36,368
40.3,176.1,108.8, ,561
42.1,177.3,105,281,145
41.4,176.9,105,477,353
41.5,177,105.1, ,356
44.7,178.9,106.1,601,200
44.9,179,106,370,344
44.9,179,105.6,105,212
48.4,180.7,107, ,251
48.2,180.6,106.3,100,255
48.2,180.6,107.2, ,466
52.6,182.2,103.5, ,386
56,183.1,101.1, , 
57.6,183.5,104.5, , 
56.8,183.3,108.6, , 
55.6,182.8,112.3, , 
54.7,182.4,114.9, ,32
59.5,183.6,113.9, , 
60.1,183.4,117.2, , 
57.8,182.7,118.8, , 
54.4,181.6,120.7, ,134
58.4,182.3,123.2, ,36
63.5,183.7,119.4, , 
65.6,183.5,123.9, , 
62.2,182.7,125.9, , 
55.7,181.3,125.2, ,75
60.6,182.2,127.2, , 
56.2,180.7,129.5,415,74
59.4,181.1,132.1, , 
58.6,180.4,134.3, ,44
56.3,180.1,133.2, ,45
52.2,179.1,131.3, , 
49.9,178.6,129.3, ,61
46.6,177.5,126.4,59,127
49.9,177.9,132.7, , 
47.2,177.1,130.2,421, 
45.1,176.5,127.9, ,47
43.3,175.7,126.1,292, 
41.1,174.7,123.7,73, 
40.1,174.7,119.3, ,431
39.9,174.6,119.2,131, 
39.9,174.6,119.2,92,76
42.6,176.3,120.5,687,488
42.8,176.5,120.4,572,212
43.8,177,121.2,161,1232
46.8,178.5,121.6,935,1361
46.5,178.6,120.6,542, 
49.7,179.9,121.3,413,261
49.3,179.7,121.4, , 
52.4,180.7,122.2, ,300
53.2,181,122.5, ,190
52.9,180.9,122.3, , 
57.3,181.4,127.3, , 
57.2,181.5,126.7, , 
57.1,181.8,124.4, , 
51.7,179.9,126.1, ,84
53.3,180.5,125.9,49, 
51.1,179.8,125,204,377
52.8,179.9,127.9, ,73
54.3,180.1,130.1, , 
56.3,180.7,130.1, ,95
49.2,178.9,126.2,420,1545
49.8,179.1,126.3,396,222
49.3,179.1,125.1,410,895
47.6,178.4,124.8, ,397
46.2,177.8,124.3, ,349
44.7,176.9,124.6, ,906
43.4,176.6,122.1, ,62
50.7,180.7,118.3, ,276
50.1,180.5,117.5, ,402
55.3,182.2,118.2, ,298
53.5,181.6,118.2, ,280
52.6,181.4,118,86,350
57.8,182,124.2, ,181
55,181.5,123, ,595
50.6,180.3,121, ,906
51.4,180.7,120.1, ,151
50.3,181,114.1, ,378
50.4,181,114.6, ,90
50,180.9,114.4, ,1958
55.1,182.5,114, ,60
59.7,183.3,117.3, , 
57.7,183,115.7, , 
53,182.1,112, ,209
51.1,181.6,110.7, ,336
50.4,181.3,110.5,204,429
51.3,181.8,107.8, ,696
52.7,182.2,107.4, ,458
52.9,182.2,108.9, ,819
56.3,183.1,110.7, ,135
58.3,183.4,112.5, , 
49.7,181.1,110,120,822
46.8,180,108, ,212
49.7,181.2,102.8, , 
42.7,177.6,101.8, ,74
40.4,176,101.2, , 
46.6,179.6,99.7, , 
46.3,179.1,96.6, , 
41.1,176.1,97.5, , 
39.4,175.2,100.2, , 
43.7,178.1,100.9, , 
42.6,177.5,101, ,81
41.5,176.9,103.6,35,86
40.3,176.2,104.2,253, 
39.1,175.2,103.7, , 
37.3,173.8,106.6, ,181
37.8,174.2,104.1, , 
36.7,173.1,103.3, ,49
35.9,172.3,105.2, ,49
35.8,172.3,107.2, ,138
36,172.4,110,112,226
34.7,171,108.6, , 
35,171.5,106.5, , 
36.2,172.5,111.1,501,989
37.9,174.1,110, ,62
38.7,174.5,113.4, ,82
39.5,175.4,110.9, ,73
42.4,177.4,111.1, ,1034
37.6,173.5,113.5, , 
36.2,172.1,113.9, ,262
35.5,171.7,111.3, ,97
33.8,169.9,109.6, ,80
34,169.8,111.9, ,259
32,166.9,110.6, , 
32.4,168,106.9,90, 
34.1,170.4,104.6,69, 
32.8,168.6,103.6,109, 
35.9,172,100, , 
39.2,174.7,97.8, , 
37.2,173,98.5, , 
34,169.8,100.4, ,239
34.2,170.5,104, ,63
34.8,170.4,98.4, ,200
33.7,168.8,97.5, , 
35.3,170,94.4, , 
36.3,171.8,96.8, , 
34.4,169.2,95.6, , 
33.7,168.4,95.9, , 
32.6,167,96.8, , 
32.8,167.9,99.5, , 
33.1,168.6,100.6, , 
32.2,167.4,101.9, , 
31.5,166.3,103.7, , 
31.5,166.5,107, , 
31.4,166,108.6,35, 
31.1,165,111.5, ,204
30.6,164.1,109.6, , 
30.5,163.3,112, , 
30.7,163.7,113.1, , 
31.7,165.6,114.9,97, 
30.7,163.2,114.9, , 
31.5,164.1,117.8,105, 
32.1,165.3,118.3, , 
32.2,165,119.8, , 
30.6,162.5,116.1, , 
31.6,163.4,120.2, , 
32.3,166.4,116,165,177
32.8,167.6,115,120, 
33.2,168.3,113.9,315, 
34.4,169.2,118.4,700,346
35.4,171,115.8,1251,242
34.6,170.2,114.5,562,237
34,168.8,117.2,281,46
33.2,167.5,117.9,333, 
37.3,172.4,119.2,422,181
37.4,172.5,119,498,348
38.2,173.4,118.3,210, 
36.5,171.4,119.5,609,114
37.3,171.7,122.2,214, 
35.4,169.7,121.7,88, 
34.8,168.9,121.5, , 
35,168.3,124.3, , 
37.4,170.5,127.2,112, 
40.4,173.2,127.8,73, 
44.3,175.5,129.8,72, 
53.9,178.6,136.5, , 
53.8,179.2,133.6, , 
52.2,177.6,137.8, , 
50,176,140.1, , 
44.6,173.3,138.8, , 
38.7,170.3,132.7, , 
35,167.5,127, , 
40.6,172.2,132.3, , 
44.8,178.5,114.6,293,205
40.3,173.6,125.8,112, 
38.2,171.9,125.5,71, 
37,170.5,125.5, , 
33.9,167.7,121.2, , 
37.1,172.4,118,89, 
37.1,172.7,116.6,83,56
35.7,170.9,117.9, , 
33.9,166.9,123.5, , 
36.5,169.2,128.5, , 
40,172.3,130, , 
39.5,172.1,129, , 
39.3,171.5,130.6, , 
42.4,174.1,130.6, , 
43,175.2,128, , 
42.8,173.5,134.2,66, 
45,174.5,135.6, , 
45.8,175.2,135.2, , 
44.8,175.3,132.1, , 
47.5,176.8,132.5,92, 
36.3,167.8,131.7, , 
35.7,167.3,130.7, , 
38.1,169,134.9, , 
40.6,170.8,137, , 
42.8,171.6,140.2,65, 
48.4,174.5,142.5, , 
43.8,171.7,142, , 
45.1,173,140.7, , 
41.6,170.8,139.5, , 
41.3,169.8,141.4, , 
54.8,182.8,105.8, , 
55.5,183,103.8, , 
52,182,105.4, , 
48.8,180.9,106.1, ,105
